SC10004154	0,0.92,51.94,48.95,46.94,48.92,50.90,54.86,59.82,65.80,70.77,75.74,81.72,85.72,90.0,0.55,30.53,29.52,27.54,24.58,20.66,16.78,10.93,4.111,-1.140,-5.150,-4.154,0.146,17.132,29.115,42.82,63.69,71.63,77.64,84.72,85.87,83.121,73.137,68.152,64.0,0.172,20.184,16.199,10.235,1.246,-1.254,-3.255,-3.247,1.235,7.187,38.173,48.160,60.143,82.142,87.144,89.163,84.173,78.180,72.202,54.198,55.192,59.169,80.167,85.167,87.185,84.193,81.201,77.211,70.207,70.201,72.184,84.182,86.184,88.214,79.219,77.221,76.213,79.209,82.205,85.198,99.201,99.204,99.202,104.194,109.186,116.146,150.145,148.149,138.265,7.292,-15.316,-29.321,-11.302,10.279,35.161,136.154,137.151,133.202,82.220,74.245,66.363,52.367,55.367,58.330,69.0,0.282,93.286,95.292,97.0,0.	L	QBROIDRL.SIG
SC10004210	0,0.90,26.94,22.96,20.98,17.99,15.100,13.102,11.103,15.103,19.104,25.105,32.105,41.104,51.103,62.100,70.99,78.97,84.95,90.94,93.93,96.92,99.93,95.96,78.97,67.97,54.94,28.94,16.94,7.95,-2.97,-1.100,4.109,24.115,37.121,50.138,76.142,80.144,82.143,78.138,74.130,69.101,60.92,61.84,63.73,78.74,83.80,87.114,88.127,84.140,80.171,69.179,66.184,65.200,80.204,85.208,89.235,81.243,76.250,71.268,70.270,75.273,79.290,84.296,81.300,77.311,67.309,69.301,73.264,91.0,0.	L	OLKBOWJQ.SIG
SC10004205	0,0.77,36.77,34.78,32.79,36.80,43.81,50.83,58.85,65.87,70.89,75.91,78.92,80.0,0.37,20.35,19.33,19.30,20.27,21.26,24.26,26.28,28.30,30.35,31.41,32.49,32.58,33.78,36.88,38.100,41.119,47.131,54.133,59.131,67.127,71.122,74.99,79.91,79.85,78.71,76.68,75.71,74.0,0.135,52.137,54.138,57.142,73.143,79.144,82.145,85.146,77.146,71.145,54.145,46.145,38.144,23.145,27.146,33.157,63.160,68.162,72.173,77.176,77.178,76.181,69.180,67.177,65.154,73.149,77.145,81.140,87.143,84.148,80.170,60.174,57.177,55.181,54.183,56.184,58.194,69.196,71.198,71.202,53.201,48.200,43.199,38.200,42.200,45.219,43.224,39.229,34.234,34.230,39.225,44.190,70.186,73.182,75.181,77.183,78.185,78.207,74.209,74.212,73.226,69.228,67.231,65.233,65.235,64.236,66.240,74.0,0.255,44.253,47.248,77.248,86.248,89.247,48.248,38.248,28.251,9.250,16.250,24.243,62.243,65.245,64.272,68.275,70.278,72.290,63.291,59.292,53.280,29.277,33.273,36.271,79.275,80.280,80.304,52.302,48.299,45.268,52.269,55.270,57.308,47.312,45.315,42.313,61.313,65.313,68.316,40.317,34.318,30.329,63.330,66.332,68.357,52.359,43.363,33.373,-19.0,0.	L	MYOMLNTE.SIG
SC10004209	0,0.71,34.71,32.71,29.72,27.72,25.71,28.69,36.67,47.67,56.65,63.64,69.63,72.61,74.59,72.60,68.61,64.0,0.55,31.54,29.54,27.57,24.62,21.68,18.76,16.83,15.89,16.97,26.98,34.99,42.96,56.92,61.86,65.69,68.63,67.59,66.62,61.0,0.133,54.133,52.132,48.130,46.128,44.118,42.115,44.111,47.110,59.112,63.117,66.129,67.133,63.136,58.138,49.139,51.141,55.145,62.147,62.150,62.168,52.173,50.179,48.202,46.204,49.205,52.189,68.185,70.182,71.191,76.197,78.202,82.187,95.182,97.178,99.179,103.0,0.215,80.212,80.0,0.	L	VXBLBWEE.SIG
SC10004201	0,0.46,83.49,81.53,78.58,72.63,64.69,52.73,38.77,21.81,3.85,-18.88,-34.89,-41.90,-36.90,-22.90,-4.90,24.92,53.93,74.96,86.98,92.99,95.98,92.94,80.90,72.84,61.74,37.69,32.64,33.55,51.53,66.55,81.66,100.73,102.82,100.99,86.104,76.109,63.117,16.118,-1.118,-14.118,-18.116,-13.114,-4.111,27.113,37.115,45.122,57.124,59.124,62.126,64.131,64.135,62.147,45.151,36.155,26.161,-8.161,-15.161,-21.149,-28.145,-26.141,-22.129,32.130,45.133,54.148,68.152,68.155,68.166,61.169,59.173,56.180,43.180,39.180,34.166,34.162,40.159,48.167,74.172,75.183,60.181,38.189,60.201,63.203,37.205,54.216,66.224,42.238,55.239,51.242,53.243,56.243,59.255,60.256,57.257,54.262,50.263,53.266,55.283,60.285,60.287,59.306,57.308,54.306,51.283,54.281,58.280,61.296,65.298,61.298,59.296,67.298,72.300,74.310,68.313,63.317,59.325,68.325,70.326,72.344,54.346,53.346,55.357,77.362,75.369,73.0,0.	L	LPJVRYUM.SIG
SC10004251	0,0.68,20.68,18.69,20.70,23.70,27.69,33.69,40.68,48.67,56.67,63.65,70.64,76.63,81.63,89.74,75.83,52.90,34.92,27.95,21.96,17.98,15.97,18.92,30.88,36.84,44.75,55.70,60.66,65.59,74.57,77.55,80.53,82.56,78.60,75.66,69.69,67.71,67.76,71.79,73.81,74.89,76.92,76.96,75.105,73.109,73.112,73.113,75.0,0.120,56.120,54.119,58.118,68.117,73.117,77.116,88.116,90.115,86.119,58.121,49.122,41.130,5.131,0.133,-3.129,1.127,5.125,11.121,51.122,57.122,61.132,58.136,53.141,45.156,5.158,1.159,-2.154,13.151,21.148,32.139,68.137,71.137,73.138,71.140,69.141,67.0,0.166,32.162,34.160,36.146,50.145,53.144,55.145,64.0,0.168,33.166,33.159,37.156,40.154,42.149,52.149,54.150,56.154,56.0,0.173,70.175,67.178,61.189,39.199,1.199,-6.176,-3.170,7.163,22.163,91.167,91.172,87.204,34.206,29.207,27.192,53.190,58.190,62.192,67.194,66.197,67.206,66.209,66.211,67.220,74.223,74.226,74.239,70.242,68.245,68.251,77.254,77.256,76.277,73.280,73.283,74.299,70.0,0.	L	NAJMHJSO.SIG
SC10004252	0,0.146,55.147,52.148,50.148,48.147,45.144,43.142,42.139,41.137,40.135,38.133,36.134,40.135,45.137,48.139,52.141,55.143,58.145,60.145,62.144,64.141,65.0,0.73,46.75,42.81,40.91,38.104,36.122,35.141,35.179,34.198,35.214,37.234,46.238,51.238,57.198,75.176,81.150,86.82,94.66,95.55,94.53,85.63,80.77,75.139,65.160,64.181,65.211,70.213,72.211,75.185,81.173,81.161,79.135,63.133,59.135,55.145,45.149,47.151,51.165,74.169,78.173,80.182,72.181,64.180,56.172,26.170,22.170,20.168,35.171,44.175,55.195,86.199,87.202,87.211,58.212,51.211,47.210,41.209,44.208,48.221,73.228,77.235,80.272,69.274,64.275,60.242,48.234,50.226,54.229,86.241,89.256,93.333,81.336,76.336,69.278,46.266,47.257,50.290,78.302,77.314,76.294,66.284,67.275,69.318,70.334,68.349,65.354,76.340,81.327,88.0,0.	L	YPLWPGDW.SIG
SC10004259	0,0.64,59.65,57.65,54.66,52.63,56.59,61.56,66.53,71.51,75.50,79.50,81.51,83.53,84.0,0.46,37.47,35.49,33.51,32.54,31.62,30.69,30.79,31.88,34.103,46.108,52.111,59.112,70.110,75.104,79.93,87.85,90.78,91.66,90.63,86.61,81.61,75.0,0.118,77.118,74.0,0.136,68.137,66.135,70.132,73.126,83.125,85.124,87.126,84.127,81.129,78.137,67.140,65.142,63.143,66.142,71.140,77.143,90.146,92.151,91.159,80.162,75.163,69.164,30.164,22.163,16.162,14.0,0.202,46.204,44.202,47.200,50.197,55.189,81.188,88.188,93.190,106.193,104.195,102.208,79.210,73.213,65.220,42.221,40.219,42.211,72.210,78.209,85.208,102.211,103.216,100.238,71.241,64.245,58.255,30.252,36.250,42.241,90.241,94.242,97.263,91.268,86.275,80.308,36.309,33.307,32.249,62.243,65.239,68.287,72.305,74.323,76.398,90.392,93.380,95.280,93.284,91.293,89.350,81.0,0.	L	HTJBVGOT.SIG
SC10004260	0,0.54,33.53,31.51,33.50,41.47,64.46,77.45,96.43,106.43,108.43,110.43,107.43,101.42,93.42,83.43,70.45,56.48,41.51,27.56,15.61,4.66,-4.70,-9.79,-6.81,2.83,14.80,40.77,51.74,63.67,79.65,84.64,87.68,82.71,78.76,75.82,74.84,76.86,80.87,98.84,104.79,109.58,118.52,119.49,118.44,108.46,101.48,94.59,74.63,70.67,66.81,64.87,64.94,64.113,57.118,53.122,48.129,24.129,18.127,12.114,-4.109,-5.103,-4.83,20.81,33.79,48.91,97.96,105.102,111.120,113.124,110.128,105.138,71.139,62.139,52.140,32.139,35.139,42.144,82.147,87.150,89.162,80.163,76.165,72.167,64.169,63.171,66.171,70.169,70.167,68.162,43.165,34.170,26.189,14.191,17.192,23.184,80.185,87.188,93.209,95.213,91.216,86.209,56.206,51.202,48.187,36.189,32.193,28.225,20.227,24.227,32.225,92.229,95.233,96.258,74.256,69.255,64.227,33.226,29.226,25.250,9.253,12.259,26.280,80.280,78.279,74.273,19.274,23.272,31.291,66.297,62.304,56.349,4.353,8.356,17.365,67.0,0.	L	SONEBBLL.SIG
SC10004265	0,0.59,64.61,63.59,65.61,64.63,62.68,58.75,52.92,37.100,30.108,22.112,17.114,13.115,9.114,6.110,4.104,4.98,5.91,6.86,8.81,12.81,16.82,22.85,34.86,41.87,49.88,63.90,68.92,72.99,76.101,77.104,77.106,77.101,80.95,82.69,87.60,88.53,87.45,78.48,74.51,71.64,70.0,0.127,74.126,71.132,62.137,56.141,50.147,44.159,28.163,20.165,7.163,5.157,4.130,16.125,19.123,22.130,32.138,36.145,40.165,61.167,66.167,70.161,78.158,79.153,79.132,76.129,74.128,71.139,53.0,0.169,44.168,42.167,40.166,59.167,65.168,71.169,77.169,85.169,83.173,53.175,47.178,44.184,48.184,55.184,62.186,84.189,84.191,82.201,48.202,43.202,40.202,52.204,67.208,82.212,88.214,86.216,82.223,52.224,56.225,61.229,86.230,88.232,87.243,52.244,48.244,45.249,47.252,52.255,60.262,84.264,82.265,80.266,78.0,0.298,5.296,3.296,1.296,12.296,19.297,29.297,38.291,83.291,86.301,99.303,99.305,99.330,90.332,89.335,88.346,81.0,0.272,12.272,10.273,6.274,9.275,13.276,17.277,38.274,77.276,80.309,78.312,77.315,77.327,80.0,0.276,67.278,68.280,68.308,65.334,61.336,61.342,60.0,0.229,29.229,27.229,29.0,0.	L	FCXEHIJI.SIG
SC10004274	0,0.36,75.38,74.42,73.49,72.55,70.65,68.78,65.93,62.111,58.130,53.151,48.173,44.198,39.224,33.250,28.276,23.299,19.322,15.345,12.363,9.378,7.390,6.404,4.406,4.401,2.379,2.361,3.339,4.282,9.252,12.225,14.176,21.160,25.147,29.136,39.136,44.138,49.162,60.175,61.191,61.243,54.260,51.274,48.299,43.285,45.272,47.213,57.203,58.199,59.211,59.223,57.240,55.296,47.0,0.	L	GWJBHRBR.SIG
SC10004421	0,0.116,47.118,49.120,51.122,51.128,51.132,50.134,49.137,48.140,47.143,44.145,43.146,40.147,36.147,32.146,27.144,21.141,14.138,8.135,3.127,-3.114,-5.109,-5.99,-1.95,3.91,8.85,26.83,38.83,51.88,72.93,80.98,86.110,95.116,97.124,99.138,95.145,90.151,83.162,55.162,42.161,26.149,-13.145,-18.141,-20.130,-17.128,-13.128,-7.143,24.151,35.160,45.182,70.186,76.188,82.182,94.177,96.170,97.140,86.135,81.131,76.132,60.136,58.141,56.166,51.171,51.175,51.179,49.177,46.176,43.168,37.166,37.164,39.165,58.166,64.169,69.185,77.189,75.192,72.194,47.191,41.188,36.176,44.177,52.179,61.208,87.214,87.221,86.235,53.234,42.229,29.201,-16.197,-10.194,2.213,76.220,81.227,84.245,65.243,58.242,51.223,37.221,43.221,51.236,80.239,80.243,79.243,52.242,49.238,47.237,69.241,73.244,77.261,82.264,80.264,77.256,37.254,34.252,34.260,76.266,82.271,86.301,64.301,53.300,40.274,-18.271,-9.270,3.296,74.300,75.304,75.309,23.308,19.305,20.309,84.313,87.319,87.327,36.325,33.322,32.331,76.334,78.336,79.338,44.339,41.341,41.365,99.365,102.362,105.311,55.310,47.316,38.331,34.0,0.354,32.354,30.350,27.0,0.306,18.297,18.0,0.218,27.214,27.0,0.	L	WDTQPOJO.SIG
SC10004492	0,0.74,42.74,44.73,49.70,55.69,62.66,68.64,74.63,78.63,80.65,77.66,73.0,0.39,29.40,33.42,35.45,36.50,37.55,38.62,38.68,39.74,40.79,42.84,43.88,44.92,45.94,46.96,49.96,51.95,54.92,61.88,67.82,74.71,89.66,97.61,104.56,112.56,114.0,0.121,65.121,68.120,73.119,77.117,86.116,91.115,94.114,97.115,95.117,92.122,74.125,64.128,53.142,27.145,22.148,20.153,23.154,28.153,33.149,46.0,0.142,60.141,62.141,64.141,66.0,0.93,88.94,91.95,93.0,0.135,88.135,91.135,93.0,0.229,59.234,55.237,50.247,31.248,26.247,20.223,17.216,23.207,30.177,77.179,81.183,83.225,62.234,56.244,49.269,31.268,28.265,29.228,50.222,59.218,69.221,102.227,101.234,98.277,45.281,32.284,21.285,10.280,15.275,22.251,80.252,83.253,85.284,77.291,73.300,68.343,21.342,15.341,12.304,45.300,52.296,60.297,77.299,78.301,79.313,84.315,85.319,85.328,78.330,76.331,73.328,62.325,63.322,65.325,70.330,69.334,69.353,78.351,80.349,81.370,55.374,54.377,57.366,98.0,0.	L	BDMIMPVN.SIG
SC10004467	0,0.55,72.53,72.51,73.53,72.57,71.64,68.73,64.86,59.99,52.115,46.129,39.142,32.155,23.166,15.175,8.182,2.185,-1.187,-2.182,2.178,7.172,13.166,20.154,38.147,47.139,56.127,70.123,76.121,79.120,81.117,77.115,74.109,64.104,60.99,56.89,52.85,52.81,53.79,53.82,53.86,54.111,52.122,51.137,48.185,35.195,32.202,30.212,26.209,27.201,30.171,41.161,46.152,52.136,71.137,73.141,75.181,65.192,62.203,59.223,54.0,0.225,60.228,57.230,56.234,53.234,51.231,52.212,60.207,63.203,66.197,82.199,83.202,84.220,76.225,72.231,67.234,63.239,55.238,52.230,54.228,55.226,57.224,74.226,76.230,78.254,72.258,70.263,66.269,53.267,53.263,55.252,78.254,81.256,82.283,70.282,73.281,76.302,76.309,71.315,65.330,13.329,10.331,10.358,95.352,107.344,115.262,138.264,132.274,119.360,48.0,0.	L	JBTTNPRX.SIG
SC10004510	0,0.35,55.33,62.31,71.29,78.28,82.28,85.28,82.28,79.27,73.25,67.24,61.23,55.22,49.22,44.23,38.0,0.40,11.46,9.56,9.64,10.72,14.78,19.83,26.85,50.83,62.79,70.68,80.61,82.53,83.36,77.31,73.26,66.18,50.15,44.0,0.98,29.100,29.99,34.96,41.88,60.86,68.84,74.84,78.84,76.84,73.83,61.83,57.82,52.83,39.84,36.86,34.94,47.96,55.99,63.110,85.114,89.118,91.141,76.146,62.147,56.144,24.142,19.140,15.0,0.173,34.174,37.174,40.176,58.176,63.176,68.177,78.180,74.181,70.192,36.194,29.195,23.199,17.199,21.198,26.194,54.194,61.194,69.201,89.204,89.206,87.222,56.225,47.227,39.241,3.241,1.239,6.221,62.220,72.221,79.241,81.247,77.252,70.304,15.307,11.301,19.253,66.261,64.275,61.411,40.417,37.417,35.276,42.251,47.232,52.323,62.0,0.	L	VEHAFHBG.SIG
SC10004549	0,0.101,24.97,23.90,23.85,23.81,24.79,25.77,28.77,30.79,33.83,35.88,39.95,43.101,47.109,51.113,56.116,62.116,67.116,72.114,76.106,81.101,83.95,84.82,85.77,85.72,85.70,84.72,82.76,79.89,69.99,62.109,54.134,33.145,21.155,9.165,-17.164,-24.160,-26.129,-2.117,16.105,36.82,91.83,99.86,106.113,101.123,93.133,84.142,55.141,48.139,44.135,40.132,42.131,45.126,58.126,64.124,70.119,85.123,81.127,78.135,70.133,73.130,76.121,89.119,92.117,95.116,99.118,97.121,94.121,92.119,94.115,96.103,88.106,80.113,70.187,-4.201,-13.213,-18.196,-2.178,12.155,30.100,95.106,97.121,96.201,81.208,79.211,77.0,0.223,56.0,0.	L	KGQCWGSQ.SIG
SC10004568	0,0.79,22.81,33.82,44.82,53.82,62.80,70.76,78.69,84.61,89.53,91.45,92.38,91.31,88.26,82.22,76.21,68.21,61.24,54.33,43.0,0.114,73.116,74.118,77.0,0.147,20.147,17.148,15.147,20.147,25.149,39.151,46.152,53.154,64.155,66.156,69.158,67.161,67.163,68.173,74.0,0.193,48.194,46.194,44.192,43.189,42.182,44.179,45.177,47.175,57.175,61.178,64.191,69.195,68.198,66.200,54.200,51.199,48.198,45.198,50.198,54.206,66.208,66.211,66.215,57.215,53.215,51.213,51.212,54.212,57.225,72.229,72.233,72.240,61.240,58.238,55.232,47.229,49.238,60.242,70.0,0.237,57.237,60.239,71.240,73.243,74.256,68.256,64.255,61.238,48.236,48.0,0.260,55.261,58.262,60.263,63.266,68.267,65.266,61.266,46.0,0.270,61.274,60.276,58.282,51.281,49.280,47.269,62.270,66.272,69.289,67.290,64.290,62.289,52.291,54.292,57.297,67.299,65.300,62.304,55.316,52.317,55.327,71.0,0.359,50.357,48.355,47.336,53.344,55.350,56.349,74.340,72.341,66.0,0.364,53.367,51.369,51.372,51.389,59.390,61.390,63.369,65.368,63.367,61.384,48.386,47.389,46.401,63.402,66.403,68.410,58.412,56.414,54.431,76.0,0.	L	XTVGTJYL.SIG
SC10005346	0,0.	L	DVHKXTTM.SIG
