0	0
13	9
13	11
13	13
13	15
13	21
13	24
13	26
13	29
13	31
14	29
14	26
14	23
14	20
14	18
14	15
14	13
13	10
13	8
12	6
49	28
54	31
51	30
52	30
48	25
37	20
11	2
12	4
15	5
20	7
23	8
25	8
32	13
35	15
37	17
38	23
38	25
37	28
26	32
22	32
19	32
12	30
0	0
49	19
47	18
41	24
39	26
40	28
50	33
52	33
54	33
58	26
56	24
53	22
41	17
39	18
0	0
55	20
55	22
55	24
55	27
63	36
65	36
68	35
73	25
73	22
71	20
68	17
0	0
84	20
82	18
72	31
75	34
77	34
95	33
88	31
87	29
86	26
90	26
93	26
103	26
0	0
116	18
116	16
115	26
115	28
115	31
115	37
116	34
116	32
121	9
123	11
123	13
127	29
129	30
130	28
134	5
134	2
134	4
138	30
138	32
138	35
135	32
0	0
147	24
144	24
137	29
139	31
141	34
152	28
151	26
150	23
143	19
0	0
155	26
156	28
155	34
155	32
155	30
155	24
157	26
159	28
163	35
165	32
166	30
165	14
0	0
172	33
172	31
172	28
177	18
179	20
179	22
182	37
182	35
182	31
167	30
170	30
174	29
185	28
0	0
189	29
190	31
190	33
190	35
188	32
187	30
195	18
197	18
199	19
194	26
192	27
190	28
189	30
191	31
193	33
197	40
195	38
0	0
208	24
207	22
205	20
203	20
212	26
213	23
212	26
209	32
211	32
213	32
220	27
219	29
219	31
222	41
0	0
205	24
203	24
201	26
209	41
0	0
212	31
215	31
217	31
233	31
0	0
226	21
228	23
227	26
223	46
0	0
26	53
27	55
27	58
22	82
0	0
32	66
32	68
32	70
31	82
31	80
30	78
32	63
33	61
34	63
41	81
43	83
44	81
46	56
47	54
47	51
0	0
53	62
52	67
52	72
50	64
50	62
50	60
61	56
63	56
65	56
68	56
0	0
49	69
51	70
53	70
59	70
0	0
76	63
74	62
72	63
86	81
88	79
88	76
66	59
0	0
71	62
73	62
89	70
90	73
90	75
75	88
73	87
70	85
76	65
0	0
93	71
92	73
89	85
0	0
92	67
92	64
93	62
103	60
0	0
101	76
98	76
95	75
0	0
96	75
103	77
110	85
0	0
117	70
116	72
115	75
115	74
117	70
118	67
121	73
120	76
120	79
135	58
137	55
139	58
132	89
134	88
0	0
149	63
149	65
149	68
148	72
156	61
158	61
160	61
164	61
0	0
149	74
152	73
154	73
161	72
0	0
144	81
146	83
148	83
160	85
0	0
179	63
176	87
165	85
0	0
177	57
176	55
175	57
168	83
0	0
